2025-05-19 19:27:51.855 [info] Experiment 'pythonRecommendTensorboardExt' is active
2025-05-19 19:27:51.855 [info] Experiment 'pythonTerminalEnvVarActivation' is active
2025-05-19 19:27:51.855 [warning] Dir "/home/eduardo/escoladanuvem/.pixi/envs" is not watchable (directory does not exist)
2025-05-19 19:27:51.855 [info] Python interpreter path: /bin/python3
2025-05-19 19:27:52.997 [info] > pyenv which python
2025-05-19 19:27:52.998 [info] cwd: .
2025-05-19 19:27:57.228 [info] Starting Pylance language server.
2025-05-19 19:58:14.344 [info] CreateEnv Trigger - Skipping for /home/eduardo/escoladanuvem/calcula_volume_caixa.py
2025-05-19 19:58:14.509 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calcula_volume_caixa.py
2025-05-19 20:03:40.857 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calcula_volume_caixa.py
2025-05-19 20:04:51.705 [info] Discover tests for workspace name: undefined - uri: c:/Users/eduar/AppData/Roaming/Code/User/settings.json
2025-05-19 20:19:30.456 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:38.198 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:40.056 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:45.440 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:48.643 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:52.351 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:54.635 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:56.501 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:19:59.659 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
2025-05-19 20:20:03.784 [info] Discover tests for workspace name: escoladanuvem - uri: /home/eduardo/escoladanuvem/calculadora_soma.py
